Konkani,Hindi,Konkani_Rule_POS
ताजो,ताज़ो,ताजो/NOUN
स्वास,आवास,स्वास/PART
आनी,और,आनी/PART
चकचकीत,चकाचौंधा,चकचकीत/NOUN
दांत,दांत,दांत/NOUN
तुमचें,आप,तुमचें/PRON
व्यक्तीमत्व,व्यक्तित्व,व्यक्तीमत्व/NOUN
परजळायतात,घबराया हुआ,परजळायतात/VERB
आशिल्ल्यान,प्राणी,आशिल्ल्यान/NOUN
तुमचो,आपका आपका,तुमचो/ADJ
आत्मविश्वासय,आत्मविश्वासय,आत्मविश्वासय/NOUN
वाडटा,बढ़ता हुआ,वाडटा/NOUN
आमच्या,हम स्वयं,आमच्या/ADJ
हड्ड्यां,हड्ड्यां,हड्ड्यां/NOUN
दांतां,बहुत,दांतां/NOUN
मदीं,बीच में,मदीं/PRON
बॅक्टेरिया,जीवाणु,बॅक्टेरिया/NOUN
आसतात,में,आसतात/VERB
त्यो,वह,त्यो/NOUN
बुरशे,बुरशे,बुरशे/NOUN
घाणयारो,घाणयारो,घाणयारो/NOUN
करतात,करना,करतात/VERB
हांगा,यहाँ,हांगा/PART
दिल्ल्या,दिया गया,दिल्ल्या/NOUN
कांय,कुछ,कांय/NOUN
सोंप्या,सोंप्या,सोंप्या/NOUN
सुचोवण्यांच्या,प्रतीक,सुचोवण्यांच्या/ADJ
आदारान,अपोन्स,आदारान/NOUN
तुमी,आप,तुमी/PRON
तुमचे,आपका,तुमचे/PRON
नितळ,मैला,नितळ/NOUN
दवरूंक,इसे रखने के लिए,दवरूंक/NOUN
शकतात,मई,शकतात/VERB
वेवस्थीत,साफ़,वेवस्थीत/NOUN
घांसून,भाग,घांसून/NOUN
लींप,लींप,लींप/NOUN
करचे,एस,करचे/NOUN
करपाक,करने के लिए,करपाक/VERB
दोन,दो,दोन/NOUN
ते,वे,ते/NOUN
तीन,तीन,तीन/NOUN
मिणटां,मिणटां,मिणटां/PRON
लागतात,प्रयास,लागतात/VERB
पूण,लेकिन,पूण/NOUN
चडशे,के सबसे,चडशे/NOUN
लोक,लोग,लोक/NOUN
हाचे,यह एक है,हाचे/NOUN
खातीर,के लिए,खातीर/NOUN
एका,एक,एका/NOUN
मिणटा,मिणटा,मिणटा/PRON
परस,,परस/PART
उणो,कम,उणो/NOUN
वेळ,समय,वेळ/NOUN
दितात,दिया गया,दितात/VERB
उदक,जिद्दी,उदक/NOUN
चड,अधिक,चड/NOUN
पियेवचें,शराब पीना,पियेवचें/NOUN
तोंड,मुँह,तोंड/NOUN
सुकतकच,उसी तरह से,सुकतकच/NOUN
नेटान,कठोरता की ढलान,नेटान/NOUN
हल्लो,हमला,हल्लो/ADJ
हाका,पुकारना,हाका/PART
लागून,द्वारा,लागून/NOUN
स्वासांतल्यान,स्पष्ट अर्थ का,स्वासांतल्यान/NOUN
घाणी,घाणी,घाणी/NOUN
येवपाक,गिरने के लिये,येवपाक/VERB
पियेतकच,पियेतकच,पियेतकच/NOUN
जेवणाचे,रात का खाना,जेवणाचे/NOUN
बारीक,महीन,बारीक/NOUN
कणूच,रीढ़ की हड्डी,कणूच/NOUN
निवळ,प्रवाहमय,निवळ/NOUN
जातात,जाना,जातात/VERB
अशें,में समझ गया,अशें/NOUN
न्हय,नहीं,न्हय/NOUN
तर,अगर,तर/NOUN
",",,",/NOUN"
भायर,विदेश,भायर/NOUN
लाळूय,कुंडी,लाळूय/NOUN
तयार,तैयार,तयार/NOUN
जाता,जाता,जाता/NOUN
दवरपांत,दवरपांत,दवरपांत/NOUN
लाळेची,लार,लाळेची/NOUN
खाशेली,खशेल,खाशेली/ADJ
भुमिका,भूमिका,भुमिका/NOUN
आसता,का,आसता/NOUN
ज्यो,ज्यो,ज्यो/NOUN
बुरसो,बुरसो,बुरसो/NOUN
निर्माण,निर्माण,निर्माण/NOUN
तांकां,उन्हें,तांकां/NOUN
लाळ,लार,लाळ/NOUN
नश्ट,विनाश,नश्ट/NOUN
करता,करता,करता/NOUN
करपी,करने के लिए,करपी/NOUN
बॅक्टेरियाक,जीवाणु,बॅक्टेरियाक/NOUN
साकर,चीनी,साकर/NOUN
नाशिल्लें,नहीं,नाशिल्लें/NOUN
चिंगम,चिंगम,चिंगम/NOUN
चाबडावचें,कोड़ा,चाबडावचें/NOUN
चाबडायल्यार,चाबडायल्यार,चाबडायल्यार/NOUN
चिंगमाक,चिंगमाक,चिंगमाक/NOUN
दवरपाक,आयोजित होने वाले,दवरपाक/VERB
मजत,मदद करना,मजत/NOUN
मेळटा,पाना,मेळटा/PRON
आशिल्लें,था,आशिल्लें/NOUN
गम,गम,गम/NOUN
भलायके,अच्छा,भलायके/NOUN
बरें,होना,बरें/NOUN
मानतात,ओसीसीओआरडी,मानतात/VERB
दांतांचे,दाँत,दांतांचे/NOUN
दोतोर,चिकित्सक,दोतोर/NOUN
खावपाचो,भोजन करना,खावपाचो/ADJ
सल्लो,चुलबुला,सल्लो/ADJ
दिनात,शोर,दिनात/NOUN
नेमान,नियमित रूप से,नेमान/NOUN
तपासून,परीक्षण करना,तपासून/NOUN
घेवचे,समझना,घेवचे/NOUN
दांतांच्या,दाँत,दांतांच्या/ADJ
दोतोरा,चापलूसी,दोतोरा/NOUN
कडल्यान,से,कडल्यान/NOUN
दांतांची,दाँत,दांतांची/NOUN
तपासणी,निरीक्षण,तपासणी/NOUN
करून,द्वारा,करून/NOUN
घेयात,लीजिए लीजिए,घेयात/NOUN
दांतांच्यो,तमाम,दांतांच्यो/NOUN
ल्हान,थोड़ा,ल्हान/NOUN
व्हड,मेजर,व्हड/NOUN
समस्या,संकट,समस्या/NOUN
सोंपे,चयनित आसान,सोंपे/NOUN
तरेन,स्वदेशी,तरेन/NOUN
सोडयतात,तो बाहर,सोडयतात/VERB
जेवतकच,बिल्कुल भी,जेवतकच/NOUN
धुवचें,धुवचें,धुवचें/NOUN
दर,दर,दर/NOUN
खेपे,खस्ता,खेपे/NOUN
उदकान,पानी,उदकान/NOUN
उरिल्ले,माशूक़,उरिल्ले/ADJ
कण,कण,कण/NOUN
लिंबू,नींबू,लिंबू/NOUN
मीठ,नमक,मीठ/PRON
हांच्या,इन,हांच्या/ADJ
मिश्रणान,मिश्रणान,मिश्रणान/PRON
कुलेरांत,पुकार,कुलेरांत/NOUN
घेवन,लेना,घेवन/NOUN
तातूंत,इसमें है,तातूंत/NOUN
लिंबाचे,नींबू पानी,लिंबाचे/NOUN
चार,चार,चार/NOUN
थेंबे,बूँद,थेंबे/NOUN
घालचे,चतुरता,घालचे/NOUN
सप्तकांत,का एक सप्ताह,सप्तकांत/NOUN
ह्या,इन,ह्या/PRON
हातूंत,में,हातूंत/NOUN
फकत,अभी,फकत/NOUN
दांतूच,दांतूच,दांतूच/NOUN
चकचकतात,चकाचौंध में,चकचकतात/VERB
जाल्यार,जबकि,जाल्यार/NOUN
स्वासाचे,शब्दावली,स्वासाचे/NOUN
पसून,से,पसून/NOUN
सुटकाय,भाषाविद्,सुटकाय/NOUN
भलायकी,आपको कामयाबी मिले,भलायकी/NOUN
आसत,एस्टन,आसत/NOUN
सगलें,सभी,सगलें/NOUN
आयचे,स्टॉपला,आयचे/NOUN
धांवपळीचे,शताब्दी,धांवपळीचे/NOUN
जिणेंत,ज़िंदगी,जिणेंत/NOUN
स्वताक,आप अपने आप,स्वताक/NOUN
निरोगी,स्वस्थ,निरोगी/NOUN
दवरप,बरकरार रखना,दवरप/NOUN
हें,ब,हें/NOUN
खंयच्याय,और न।,खंयच्याय/NOUN
आव्हाना,चुनौतियां,आव्हाना/NOUN
उणें,होना,उणें/NOUN
खाणा,खाना,खाणा/NOUN
जेवणाचेर,रात का खाना,जेवणाचेर/NOUN
लक्ष,केंद्र,लक्ष/NOUN
जिणेचे,रहना,जिणेचे/NOUN
शैलेंत,शैलेंत,शैलेंत/NOUN
थोडो,थोड़ा,थोडो/NOUN
बदल,परिवर्तन,बदल/NOUN
उणी,ढीला,उणी/NOUN
चरबी,मोटा,चरबी/NOUN
आशिल्लो,था,आशिल्लो/ADJ
आहार,आहार,आहार/NOUN
घेवचो,साथ ले जाएं,घेवचो/ADJ
फायबर,रेशा,फायबर/NOUN
जेवण,खाना,जेवण/NOUN
जेवचें,नमक,जेवचें/NOUN
