lambani,hindi
बाप,पिता
या,माता
भाई,भाई
बाई,बहन
दादा,दादा
दादी,दादी
नाना,नाना
नानी,नानी
बेटा,बेटा
बेटी,बेटी
खुशी,खुशी
आछ,अच्छा
रीस,गुस्सा
लकड़ी,लकड़ी
कुंडा,लड़का
भूख,भूख
आंख,आंख
कान,कान
नाक,नाक
मुंडो,मुंह
हाथ,हाथ
टांग,पैर
पानी,पानी
बाल,बाल
पेट,पेट
कुंडी,लड़की
कोर,आदमी
कोरी,औरत
विया,शादी
खाणो,खाना
जामाण,छास
भिया,भैया
बाई,बहन
फुपु,बुआ
धणी,पती
कुकड़ी,मुर्गी
किड़ी,चींटी
लड़ाई,झगड़ा
भोजाई,भाबि
गावड़ी,गाय
सिब्बी,बिल्ली
तड़को,धूप
रात,रात
झाड़,पेड़
बाटी,रोटी
धान,चावल
पीसा,पैसा
घरयाणो,परिवार
तांगड़ी,बारात
तेल ,तेल 
झूला,झूला 
छचाबर,बच्चे
परबाथी,सुबह
काका,चाचा
काकी,चाची
हमार,हमारा
मूँडो,चेहरा
काम,काम
फूल,फूल
बंगाड़ी,चूड़िया
कड़,कमर
वाते,बात
उकळी,सिलबटा
चोर,चोर
ख़्हणू,खाना
पीणू,पीना
सोणू,सोना
सांभल,सुन
बेस,बैठ
धास,दौड़
नूण,नमक
केला,केला
सक्कर,शक्कर
दाल,दाल
कुत्रा,कुत्ता
बकरी,बकरी
माछली,मछली
ऊंचों,ऊपर
हेट,नीचे
दाएं,दाएं
बाएं,बाएं
मुंडाग,सामने
आज,आज
सवार,कल
परबाति,सुबह
रात,रात
दोपहर,दोपहर
सांस,सांस 
ससुर ,ससुर 
दांत,दांत
भांड,डांट
गोर,गोरा
काल,काला
टोपी,टोपी
चप्पल,चप्पल
दवाली,दिवाली
एक,एक
दो,दो
तीन,तीन
चार,चार
पांच,पांच
छोह,छह
सात,सात
आठ,आठ
नौ,नौ
दस,दस
गाड़ी,गाड़ी
माटी,मर्द
घर,घर
आँगळी,ऊँगली
नक्क,नाखून
जीब,ज़बान
आँकी,आँख
चूलो,खाना
सोवार,कल
परमेदाड,परसो
दवाळी,दिवाली
मेटकल,सीड़िया
खेतर,खेत
उन्दर,चूहा
चालकोड़ी,गोरय्या
अंगार,आग
गीदे,गीत
तांडो,गांव
सांझ, शाम 
लत्ता,कपड़े 
मामा,मामा 
मामी ,मामी 
फूफा ,फूफा 
साली,साली
गिन्नी ,बीवी
धनी,पति
जेठ,जेठ 
ननद,ननद
नाती ,नाती 
पोत ,पोत 
लख,लिख 
रोयरो ,रोना
पड,गिर 
पकड़,पकड़ 
गमायेरो,खोना 
गण ,गिनना 
मोटा ,बड़ा 
नानकी ,छोटा 
मोटी,मोटी 
चोड ,चौड़ा 
साफ,सफाई 
गर्मा ,गरम
लार ,साथ
माय ,अंदर 
इत्ता ,इधर 
उत्त ,उधर 
कन्ना,कब 
ओर ,उसका 
एर ,इसका 
अजी ,और 
या,या
लांब,लंबा
कतरा ,कितना
फीक ,फीक 
नावों,नया
नीला,नीला
सुंदर,सुंदर
जब,जब
वो ,वह
कोई,कोई 
निधान ,धीरे
तड़कों,धूप
तारा,तारा 
घास,घास
कुर्सी,कुर्सी 
प्लेट,प्लेट 
कप,कप 
हासेरो,हंसना
गायेरो ,गाना 
गद्दा ,गधा 
सूअर,सूअर
हाथी ,हाथी
ककड़ी,ककड़ी 
पालक,पालक
भिंडी,भिंडी 
जामुन,जामुन 
बेसन,बेसन 
चिंता ,चिंता
धूड,मिट्टी 
पीठ,पीठ 
गाल,गाल 
रातड़ो,लाल
दख,दर्द
परदा,परदा
हांडी,हांडी
देवर,देवर 
होली,होली
बकरीद,बकरीद 
क्रिसमस ,क्रिसमस 
रक्षाबंधन,रक्षाबंधन
मकर संक्रांति,मकर संक्रांति
रमज़ान,रमज़ान 
तवा,तवा 
